id,name,country,lon,lat,timezone,dt (UTC),sunrise (UTC),sunset (UTC),weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,wind_speed,wind_deg,wind_gust,rain_1h,snow_1h,clouds_all,visibility
1880252,Singapore,SG,103.8519,1.2899,8.0,2025-11-16 05:05:51,2025-11-15 22:47:41,2025-11-16 10:51:12,802,Clouds,scattered clouds,03d,28.37,33.22,26.92,28.97,1011,81,1011,1010,3.09,320,,,,40,6000
1608132,Nonthaburi,TH,100.4935,13.7525,7.0,2025-11-16 05:06:40,2025-11-15 23:18:17,2025-11-16 10:47:29,802,Clouds,scattered clouds,03d,30.7,33.32,29.95,31.65,1014,56,1014,1013,3.81,44,5.85,,,44,10000
1631845,Pecenongan,ID,106.8272,-6.1754,7.0,2025-11-16 05:11:51,2025-11-15 22:25:37,2025-11-16 10:49:28,802,Clouds,scattered clouds,03d,32.78,39.78,31.7,33.34,1011,67,1011,1007,8.23,260,,,,40,7000
1733046,Kuala Lumpur,MY,101.6942,3.1517,8.0,2025-11-16 05:16:59,2025-11-15 22:58:50,2025-11-16 10:57:19,801,Clouds,few clouds,02d,30.9,36.19,27.23,30.9,1010,66,1010,998,0.51,0,,,,20,10000
1692184,Quiapo District,PH,120.9783,14.5949,8.0,2025-11-16 05:11:52,2025-11-15 21:57:31,2025-11-16 09:24:21,804,Clouds,overcast clouds,04d,30.4,37.4,30.05,31.75,1012,80,1012,1014,0.89,27,5.81,,,98,10000
1561096,Xom Pho,VN,105.8544,21.0294,7.0,2025-11-16 05:08:01,2025-11-15 23:07:34,2025-11-16 10:15:18,804,Clouds,overcast clouds,04d,24.98,25.26,24.98,24.98,1021,66,1021,1019,3.03,317,3.74,,,100,10000
1566083,Ho Chi Minh City,VN,106.7009,10.7769,7.0,2025-11-16 05:08:07,2025-11-15 22:49:15,2025-11-16 10:26:51,801,Clouds,few clouds,02d,30.95,35.24,30.95,30.95,1010,62,1010,1010,1.03,0,,,,20,10000
5128581,New York,US,-74.006,40.7127,-5.0,2025-11-16 05:07:13,2025-11-16 11:44:24,2025-11-16 21:37:33,500,Rain,light rain,10n,10.19,9.35,7.95,11.23,992,80,992,990,4.12,270,,0.3,,100,10000
5368361,Los Angeles,US,-118.2428,34.0537,-8.0,2025-11-16 05:11:53,2025-11-15 14:26:02,2025-11-16 00:49:28,200,Thunderstorm,thunderstorm with light rain,11n,13.95,13.88,12.96,15.2,1011,95,1011,993,5.14,140,,1.78,,100,8047
4887398,Chicago,US,-87.6244,41.8756,-6.0,2025-11-16 05:11:50,2025-11-15 12:40:32,2025-11-15 22:30:00,800,Clear,clear sky,01n,12.14,10.85,11.16,12.3,1006,55,1006,985,3.13,323,4.92,,,1,10000
6167863,Downtown Toronto,CA,-79.3839,43.6535,-5.0,2025-11-16 05:14:16,2025-11-16 12:13:20,2025-11-16 21:51:39,804,Clouds,overcast clouds,04n,8.79,4.45,8.25,9.15,992,86,992,979,10.73,290,12.52,,,100,10000
3530597,Mexico City,MX,-99.1332,19.4326,-6.0,2025-11-16 05:11:54,2025-11-15 12:44:50,2025-11-15 23:57:47,800,Clear,clear sky,01n,16.61,14.98,16.61,16.94,1016,25,1016,764,2.06,290,,,,0,10000
4699066,Houston,US,-95.3677,29.7589,-6.0,2025-11-16 05:11:55,2025-11-15 12:46:29,2025-11-15 23:25:59,800,Clear,clear sky,01n,21.07,21.5,19.37,21.76,1012,87,1012,1010,3.6,190,,,,0,10000
4164138,Miami,US,-80.1936,25.7742,-5.0,2025-11-16 05:11:55,2025-11-16 11:39:42,2025-11-16 22:31:46,800,Clear,clear sky,01n,20.59,20.61,17.0,21.1,1015,73,1015,1014,0.0,0,,,,0,10000
3458611,Liberdade,BR,-46.6334,-23.5507,-3.0,2025-11-16 05:11:56,2025-11-16 08:13:27,2025-11-16 21:29:30,501,Rain,moderate rain,10n,19.84,20.26,18.88,19.99,1016,91,1016,925,1.71,27,3.06,1.27,,100,10000
3427458,Villa Crespo,AR,-58.4371,-34.6076,-3.0,2025-11-16 05:11:56,2025-11-16 08:39:54,2025-11-16 22:37:29,202,Thunderstorm,thunderstorm with heavy rain,11n,18.99,19.43,17.74,19.86,1001,95,1001,999,5.14,0,12.35,10.67,,100,1500
3451190,Rio de Janeiro,BR,-43.2094,-22.911,-3.0,2025-11-16 05:08:00,2025-11-16 08:00:49,2025-11-16 21:14:44,803,Clouds,broken clouds,04n,22.97,23.49,22.97,22.99,1014,83,1014,1015,3.6,80,,,,75,10000
3941417,El Agustino,PE,-77.0365,-12.0621,-5.0,2025-11-16 05:11:57,2025-11-16 10:32:47,2025-11-16 23:13:25,801,Clouds,few clouds,02n,17.84,17.85,17.26,17.84,1014,83,1014,988,5.66,160,,,,20,10000
3678413,La Merced,CO,-74.0836,4.6535,-5.0,2025-11-16 05:11:58,2025-11-16 10:44:08,2025-11-16 22:38:27,741,Fog,fog,50n,13.85,13.85,12.99,13.97,1017,98,1017,737,3.13,180,3.13,,,75,9000
3622914,Mata de Guineo,CR,-83.7981,9.8695,-6.0,2025-11-16 05:11:58,2025-11-15 11:29:49,2025-11-15 23:10:06,500,Rain,light rain,10n,18.55,18.89,18.55,18.55,1017,93,1017,821,0.29,218,0.83,0.41,,100,9971
3640847,Distrito Capital,VE,-66.9146,10.5061,-4.0,2025-11-16 05:11:59,2025-11-16 10:23:32,2025-11-16 22:01:41,500,Rain,light rain,10n,21.17,21.48,21.17,21.17,1013,82,1013,898,0.89,67,1.79,0.12,,94,10000
2643743,London,GB,-0.1278,51.5074,0.0,2025-11-16 05:14:24,2025-11-16 07:20:28,2025-11-16 16:10:22,804,Clouds,overcast clouds,04n,9.68,7.8,8.97,10.12,1009,93,1009,1006,3.6,40,,,,100,10000
6545270,Palais-Royal,FR,2.32,48.8589,1.0,2025-11-16 05:10:04,2025-11-16 07:01:28,2025-11-16 16:09:47,741,Fog,fog,50n,9.21,8.22,7.88,10.08,1007,99,1007,997,2.06,120,,,,100,350
7576815,Alt-Kölln,DE,13.3889,52.517,1.0,2025-11-16 05:10:04,2025-11-16 06:30:10,2025-11-16 15:12:32,804,Clouds,overcast clouds,04n,6.35,3.51,5.55,7.19,1007,97,1007,1001,4.02,170,4.92,,,100,7000
6544494,Madrid City Center,ES,-3.7036,40.4167,1.0,2025-11-16 05:07:19,2025-11-16 07:02:15,2025-11-16 16:57:12,804,Clouds,overcast clouds,04n,9.53,6.95,9.13,9.81,1010,94,1010,935,5.14,230,,,,100,10000
3169070,Rome,IT,12.4829,41.8933,1.0,2025-11-16 05:12:00,2025-11-16 06:01:02,2025-11-16 15:48:55,804,Clouds,overcast clouds,04n,14.95,14.62,13.97,17.07,1015,81,1015,1007,0.45,48,1.79,,,96,10000
2759794,Amsterdam,NL,4.8936,52.3728,1.0,2025-11-16 05:12:01,2025-11-16 07:03:38,2025-11-16 15:47:02,803,Clouds,broken clouds,04n,6.68,4.15,6.03,7.22,1008,89,1008,1009,3.6,20,,,,75,10000
2775260,Innere Stadt,AT,16.3725,48.2084,1.0,2025-11-16 05:12:01,2025-11-16 06:03:07,2025-11-16 15:15:43,803,Clouds,broken clouds,04n,7.05,7.05,5.89,8.27,1012,89,1012,985,0.51,0,,,,75,7000
1861060,Japan,JP,139.7639,35.6769,9.0,2025-11-16 05:14:12,2025-11-15 21:17:32,2025-11-16 07:34:02,803,Clouds,broken clouds,04d,17.56,16.68,15.9,19.06,1027,50,1027,1025,3.09,90,,,,75,10000
1816670,Beijing,CN,116.3913,39.9062,8.0,2025-11-16 05:16:24,2025-11-15 23:00:18,2025-11-16 08:58:16,802,Clouds,scattered clouds,03d,6.94,2.6,6.94,6.94,1034,8,1034,1029,8.32,316,16.69,,,29,10000
1835848,Seoul,KR,126.978,37.5665,9.0,2025-11-16 05:06:02,2025-11-15 22:12:41,2025-11-16 08:21:11,800,Clear,clear sky,01d,17.76,16.35,17.76,17.78,1024,29,1024,1015,4.12,180,,,,0,10000
8131499,Konkan Division,IN,72.8782,19.0785,5.5,2025-11-16 05:12:02,2025-11-16 01:16:34,2025-11-16 12:30:10,711,Smoke,smoke,50d,28.03,27.43,27.98,28.03,1018,36,1018,1016,4.63,100,,,,0,2500
1796231,Shanghai Municipality,CN,121.4691,31.2323,8.0,2025-11-16 05:13:25,2025-11-15 22:22:09,2025-11-16 08:55:48,801,Clouds,few clouds,02d,22.95,22.68,22.95,22.95,1023,53,1023,1023,4.0,190,,,,20,10000
1608132,Nonthaburi,TH,100.4935,13.7525,7.0,2025-11-16 05:06:40,2025-11-15 23:18:17,2025-11-16 10:47:29,802,Clouds,scattered clouds,03d,30.7,33.32,29.95,31.65,1014,56,1014,1013,3.81,44,5.85,,,44,10000
1273840,Connaught Place,IN,77.2219,28.6517,5.5,2025-11-16 05:12:03,2025-11-16 01:14:37,2025-11-16 11:57:21,711,Smoke,smoke,50d,18.06,17.28,18.06,18.06,1021,52,1021,995,2.06,260,,,,0,1000
7922173,Al ‘Atabah,EG,31.2357,30.0444,2.0,2025-11-16 05:12:04,2025-11-16 04:21:08,2025-11-16 14:58:46,721,Haze,haze,50d,17.33,16.87,16.81,17.33,1018,67,1018,1013,3.6,180,,,,20,2000
2332459,Lagos,NG,3.3942,6.4551,1.0,2025-11-16 05:12:04,2025-11-16 05:36:37,2025-11-16 17:26:03,501,Rain,moderate rain,10n,25.13,26.15,25.13,25.13,1010,94,1010,1010,1.03,0,,1.05,,17,7000
993800,Johannesburg,ZA,28.0497,-26.205,2.0,2025-11-16 05:12:05,2025-11-16 03:10:14,2025-11-16 16:35:09,501,Rain,moderate rain,10d,15.25,15.34,13.9,15.58,1012,96,1012,826,0.89,318,3.58,3.05,,100,1099
184736,Nairobi South,KE,36.8264,-1.3033,3.0,2025-11-16 05:07:47,2025-11-16 03:12:18,2025-11-16 15:22:52,803,Clouds,broken clouds,04d,17.51,17.43,17.51,17.51,1019,81,1019,841,3.58,53,5.84,,,71,10000
2553604,Casablanca,MA,-7.62,33.5945,1.0,2025-11-16 05:12:05,2025-11-16 07:03:18,2025-11-16 17:27:29,500,Rain,light rain,10n,17.52,17.7,16.87,18.21,1017,91,1017,1008,1.79,260,,0.61,,99,10000
2306104,Accra,GH,-0.2012,5.5571,0.0,2025-11-16 05:12:06,2025-11-16 05:49:46,2025-11-16 17:41:40,800,Clear,clear sky,01n,25.6,26.49,25.6,25.6,1011,87,1011,1007,2.06,236,2.44,,,3,10000
344979,Addis Ababa,ET,38.7524,9.0358,3.0,2025-11-16 05:12:06,2025-11-16 03:18:42,2025-11-16 15:01:03,803,Clouds,broken clouds,04d,13.86,12.48,13.86,13.86,1020,45,1020,767,1.85,118,3.97,,,75,10000
2147714,Sydney,AU,151.2096,-33.8666,11.0,2025-11-16 05:14:55,2025-11-15 18:43:13,2025-11-16 08:36:46,800,Clear,clear sky,01d,32.71,31.06,29.79,33.51,998,25,998,993,1.34,283,5.81,,,1,10000
