id,name,country,lon,lat,timezone,dt (UTC),sunrise (UTC),sunset (UTC),weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,wind_speed,wind_deg,wind_gust,rain_1h,snow_1h,clouds_all,visibility
1273294,Delhi,IN,77.2219,28.6517,5.5,2025-11-15 06:07:46,2025-11-15 01:13:48,2025-11-15 11:57:47,711,Smoke,smoke,50d,20.06,19.3,20.06,20.06,1019,45,1019,993,2.06,240,,,,0,1500
7922173,Al ‘Atabah,EG,31.2357,30.0444,2.0,2025-11-15 06:07:46,2025-11-15 04:20:17,2025-11-15 14:59:14,803,Clouds,broken clouds,04d,18.33,17.76,17.92,18.33,1018,59,1018,1012,5.14,210,,,,75,10000
2332459,Lagos,NG,3.3942,6.4551,1.0,2025-11-15 06:07:47,2025-11-15 05:36:18,2025-11-15 17:25:59,500,Rain,light rain,10d,26.74,29.33,26.74,26.74,1012,82,1012,1011,2.28,259,2.9,0.57,,5,10000
993800,Johannesburg,ZA,28.0497,-26.205,2.0,2025-11-15 06:07:47,2025-11-15 03:10:37,2025-11-15 16:34:24,804,Clouds,overcast clouds,04d,17.59,17.62,16.21,17.8,1017,85,1017,831,3.93,316,5.75,,,100,10000
184736,Nairobi South,KE,36.8264,-1.3033,3.0,2025-11-15 06:07:47,2025-11-15 03:12:09,2025-11-15 15:22:39,802,Clouds,scattered clouds,03d,19.71,19.43,19.71,19.71,1017,65,1017,842,4.21,50,5.68,,,44,10000
2553604,Casablanca,MA,-7.62,33.5945,1.0,2025-11-15 06:07:47,2025-11-15 07:02:22,2025-11-15 17:28:03,803,Clouds,broken clouds,04n,15.76,15.4,15.76,16.14,1016,77,1016,1008,1.79,200,,,,62,10000
2306104,Accra,GH,-0.2012,5.5571,0.0,2025-11-15 06:07:48,2025-11-15 05:49:29,2025-11-15 17:41:34,801,Clouds,few clouds,02d,25.52,26.37,25.52,25.52,1012,86,1012,1008,2.0,245,2.57,,,20,10000
344979,Addis Ababa,ET,38.7524,9.0358,3.0,2025-11-15 06:07:48,2025-11-15 03:18:20,2025-11-15 15:01:03,800,Clear,clear sky,01d,17.12,15.72,17.12,17.12,1018,32,1018,767,3.6,100,,,,0,10000
2147714,Sydney,AU,151.2073,-33.8679,11.0,2025-11-15 05:54:03,2025-11-14 18:43:49,2025-11-15 08:35:49,500,Rain,light rain,10d,21.43,21.67,20.4,22.95,1004,78,1004,999,3.09,10,,0.51,,100,10000
2158177,Melbourne,AU,144.9632,-37.8142,11.0,2025-11-15 06:05:22,2025-11-14 19:00:16,2025-11-15 09:09:19,801,Clouds,few clouds,02d,21.54,21.29,20.5,22.97,1002,59,1002,998,5.66,150,,,,20,10000
2193732,Auckland,NZ,174.7632,-36.8521,13.0,2025-11-15 06:07:00,2025-11-14 17:03:18,2025-11-15 07:07:52,803,Clouds,broken clouds,04d,17.55,17.08,16.75,18.22,1017,66,1017,1013,6.69,230,,,,75,10000
2174003,Brisbane,AU,153.0235,-27.469,10.0,2025-11-15 06:07:49,2025-11-14 18:48:40,2025-11-15 08:16:26,804,Clouds,overcast clouds,04d,24.53,25.26,24.07,25.55,1007,85,1007,1002,8.75,30,,,,100,10000
2061261,South Perth,AU,115.8606,-31.9559,8.0,2025-11-15 06:04:39,2025-11-14 21:08:58,2025-11-15 10:53:29,800,Clear,clear sky,01d,23.44,23.09,21.16,24.95,1015,48,1015,1012,8.75,220,,,,0,10000
5910564,Buckhorn,CA,-78.169,44.5522,-5.0,2025-11-15 06:07:50,2025-11-15 12:09:33,2025-11-15 21:45:19,802,Clouds,scattered clouds,03n,-1.99,-4.09,-1.99,-1.99,1015,80,1015,983,1.54,79,2.97,,,50,10000
2099101,Boroko,PG,147.16,-9.4743,10.0,2025-11-15 06:07:50,2025-11-14 19:39:42,2025-11-15 08:12:18,804,Clouds,overcast clouds,04d,28.58,32.5,28.58,28.58,1007,74,1007,1006,3.98,160,4.18,,,91,10000
